,obs,action
13,"[[[ 1.0000000e+00  1.0000000e+00  0.0000000e+00  2.5000000e-01
    0.0000000e+00]
  [ 1.0000000e+00  6.7851327e-02  6.6666669e-01 -2.7761120e-02
    0.0000000e+00]
  [ 1.0000000e+00  1.1185144e-01  3.3333334e-01  8.3127599e-03
   -2.2204460e-16]
  [ 1.0000000e+00  3.1977800e-01  6.6666669e-01 -1.5658218e-02
    0.0000000e+00]
  [ 1.0000000e+00  4.4121122e-01  3.3333334e-01  1.3608160e-02
    0.0000000e+00]]]",[4]
14,"[[[ 1.          1.          0.          0.25        0.        ]
  [ 1.          0.0570238   0.6666667  -0.0260668   0.        ]
  [ 1.          0.11521485  0.33333334  0.00853785  0.        ]
  [ 1.          0.31368932  0.6666667  -0.01459892  0.        ]
  [ 1.          0.44654822  0.33333334  0.01294476  0.        ]]]",[4]
15,"[[[ 1.          1.          0.          0.25        0.        ]
  [ 1.          0.0468457   0.6666667  -0.02454574  0.        ]
  [ 1.          0.11865745  0.33333334  0.00869753  0.        ]
  [ 1.          0.30800036  0.6666667  -0.01368326  0.        ]
  [ 1.          0.45162064  0.33333334  0.01228707  0.        ]]]",[4]
16,"[[[ 1.          1.          0.          0.25        0.        ]
  [ 1.          0.03725072  0.6666667  -0.02317888  0.        ]
  [ 1.          0.12215483  0.33333334  0.00880217  0.        ]
  [ 1.          0.30265832  0.6666667  -0.01288375  0.        ]
  [ 1.          0.4564314   0.33333334  0.01163873  0.        ]]]",[4]
17,"[[[ 1.          1.          0.          0.25        0.        ]
  [ 1.          0.02818028  0.6666667  -0.0219472   0.        ]
  [ 1.          0.12568629  0.33333334  0.00885961  0.        ]
  [ 1.          0.29762033  0.6666667  -0.01217903  0.        ]
  [ 1.          0.46098474  0.33333334  0.01100316  0.        ]]]",[4]
18,"[[[ 1.          1.          0.          0.25        0.        ]
  [ 1.          0.01958315  0.6666667  -0.02083311  0.        ]
  [ 1.          0.12923399  0.33333334  0.00887598  0.        ]
  [ 1.          0.29285124  0.6666667  -0.0115524   0.        ]
  [ 1.          0.4652863   0.33333334  0.01038362  0.        ]]]",[4]
19,"[[[ 1.          1.          0.          0.25        0.        ]
  [ 1.          0.01141487  0.6666667  -0.01982109  0.        ]
  [ 1.          0.13278233  0.33333334  0.00885642  0.        ]
  [ 1.          0.28832206  0.6666667  -0.01099062  0.        ]
  [ 1.          0.469343    0.33333334  0.00978312  0.        ]]]",[4]
20,"[[[ 1.          1.          0.          0.25        0.        ]
  [ 1.          0.00363681  0.6666667  -0.01889775  0.        ]
  [ 1.          0.13631766  0.33333334  0.00880531  0.        ]
  [ 1.          0.2840086   0.6666667  -0.0104831   0.        ]
  [ 1.          0.47316295  0.33333334  0.0092045   0.        ]]]",[4]
21,"[[[ 1.          1.          0.          0.25        0.        ]
  [ 1.         -0.0037846   0.6666667  -0.01805163  0.        ]
  [ 1.          0.13982801  0.33333334  0.00872657  0.        ]
  [ 1.          0.2798906   0.6666667  -0.0100213   0.        ]
  [ 1.          0.47675523  0.33333334  0.00865027  0.        ]]]",[4]
22,"[[[ 1.          1.          0.          0.25        0.        ]
  [ 1.         -0.01087865  0.6666667  -0.01727301  0.        ]
  [ 1.          0.1433029   0.33333334  0.00862378  0.        ]
  [ 1.          0.2759509   0.6666667  -0.00959822  0.        ]
  [ 1.          0.48013005  0.33333334  0.00812269  0.        ]]]",[4]
23,"[[[ 1.          1.          0.          0.25        0.        ]
  [ 1.         -0.01767098  0.6666667  -0.01655366  0.        ]
  [ 1.          0.14673327  0.33333334  0.00850022  0.        ]
  [ 1.          0.272175    0.6666667  -0.0092081   0.        ]
  [ 1.          0.48329836  0.33333334  0.0076237   0.        ]]]",[4]
24,"[[[ 1.          1.          0.          0.25        0.        ]
  [ 1.         -0.02418414  0.6666667  -0.01588656  0.        ]
  [ 1.          0.15011127  0.33333334  0.00835899  0.        ]
  [ 1.          0.26855052  0.6666667  -0.00884616  0.        ]
  [ 1.          0.48627183  0.33333334  0.00715487  0.        ]]]",[4]
25,"[[[ 1.          1.          0.          0.25        0.        ]
  [ 1.         -0.03043804  0.6666667  -0.01526572  0.        ]
  [ 1.          0.15343033  0.33333334  0.00820298  0.        ]
  [ 1.          0.2650668   0.6666667  -0.00850839  0.        ]
  [ 1.          0.4890628   0.33333334  0.00671745  0.        ]]]",[4]
26,"[[[ 1.          1.          0.          0.25        0.        ]
  [ 1.         -0.03645033  0.6666667  -0.01468601  0.        ]
  [ 1.          0.15668498  0.33333334  0.00803495  0.        ]
  [ 1.          0.2617148   0.6666667  -0.00819143  0.        ]
  [ 1.          0.4916839   0.33333334  0.00631233  0.        ]]]",[4]
27,"[[[ 1.          1.          0.          0.25        0.        ]
  [ 1.         -0.04223674  0.6666667  -0.01414299  0.        ]
  [ 1.          0.15987083  0.33333334  0.00785749  0.        ]
  [ 1.          0.2584866   0.6666667  -0.00789244  0.        ]
  [ 1.          0.4941482   0.33333334  0.00594004  0.        ]]]",[4]
28,"[[[ 1.          1.          0.          0.25        0.        ]
  [ 1.         -0.04781132  0.6666667  -0.01363284  0.        ]
  [ 1.          0.1629845   0.33333334  0.00767306  0.        ]
  [ 1.          0.25537544  0.6666667  -0.007609    0.        ]
  [ 1.          0.49646887  0.33333334  0.0056008   0.        ]]]",[4]
29,"[[[ 1.          1.          0.          0.25        0.        ]
  [ 1.          0.1660236   0.33333334  0.00748396  0.        ]
  [ 1.          0.25237542  0.6666667  -0.00733907  0.        ]
  [ 1.          0.49865913  0.33333334  0.00529451  0.        ]
  [ 1.          0.5876406   0.6666667  -0.00229182  0.        ]]]",[4]
30,"[[[ 1.          0.7577781   0.          0.3125      0.        ]
  [ 1.          0.11090937  0.6666667  -0.04314427  0.        ]
  [ 1.          0.23071139  0.33333334 -0.02981978  0.        ]
  [ 1.          0.3333612   0.6666667  -0.0492619   0.        ]
  [ 1.          0.45516974  0.33333334 -0.0285679   0.        ]]]",[4]
