,obs,action
173,"[[[ 1.          1.          0.33333334  0.25        0.        ]
  [ 1.          0.13248111 -0.33333334 -0.00864058  0.        ]
  [ 1.          0.39755112  0.          0.00640285  0.        ]
  [ 1.          0.44704962 -0.33333334 -0.00704882  0.        ]
  [ 1.          0.57803714  0.33333334  0.00393629  0.        ]]]",[4]
174,"[[[ 1.          1.          0.33333334  0.25        0.        ]
  [ 1.          0.12903982 -0.33333334 -0.00854608  0.        ]
  [ 1.          0.40006584  0.          0.00611455  0.        ]
  [ 1.          0.44423634 -0.33333334 -0.00699959  0.        ]
  [ 1.          0.5796474   0.33333334  0.00415653  0.        ]]]",[4]
175,"[[[ 1.          1.          0.33333334  0.25        0.        ]
  [ 1.          0.12563728 -0.33333334 -0.00844539  0.        ]
  [ 1.          0.4024668   0.          0.00583627  0.        ]
  [ 1.          0.4414505  -0.33333334 -0.0069033   0.        ]
  [ 1.          0.5813432   0.33333334  0.00436037  0.        ]]]",[4]
176,"[[[ 1.          1.          0.33333334  0.25        0.        ]
  [ 1.          0.12227621 -0.33333334 -0.00833698  0.        ]
  [ 1.          0.40475816  0.          0.00556889  0.        ]
  [ 1.          0.43870994 -0.33333334 -0.00676603  0.        ]
  [ 1.          0.58311796  0.33333334  0.00454933  0.        ]]]",[4]
177,"[[[ 1.          1.          0.33333334  0.25        0.        ]
  [ 1.          0.11895987 -0.33333334 -0.00821981  0.        ]
  [ 1.          0.40694442  0.          0.00531315  0.        ]
  [ 1.          0.4360301  -0.33333334 -0.00659351  0.        ]
  [ 1.          0.5849662   0.33333334  0.00472473  0.        ]]]",[4]
178,"[[[ 1.          1.          0.33333334  0.25        0.        ]
  [ 1.          0.11569189 -0.33333334 -0.00809325  0.        ]
  [ 1.          0.40903032  0.          0.00506968  0.        ]
  [ 1.          0.4334242  -0.33333334 -0.00639102  0.        ]
  [ 1.          0.58688253  0.33333334  0.00488776  0.        ]]]",[4]
179,"[[[ 1.          1.          0.33333334  0.25        0.        ]
  [ 1.          0.11247607 -0.33333334 -0.00795702  0.        ]
  [ 1.          0.41102087  0.          0.00483899  0.        ]
  [ 1.          0.4309035  -0.33333334 -0.00616339  0.        ]
  [ 1.          0.5888623   0.33333334  0.00503947  0.        ]]]",[4]
180,"[[[ 1.          0.751427    0.          0.3125      0.        ]
  [ 1.          0.11822595  0.         -0.02315184  0.        ]
  [ 1.          0.24888523  0.33333334 -0.02570204  0.        ]
  [ 1.          0.37444222  0.33333334 -0.02103921  0.        ]
  [ 1.          0.4910738   0.6666667  -0.02276781  0.        ]]]",[4]
181,"[[[ 1.          0.8644517   0.          0.25823045  0.        ]
  [ 1.          0.11981902  0.          0.02368747  0.        ]
  [ 1.          0.23985022  0.33333334 -0.02499742  0.        ]
  [ 1.          0.3769279   0.33333334  0.0268253   0.        ]
  [ 1.          0.49326915  0.6666667   0.02517279  0.        ]]]",[4]
182,"[[[ 1.          0.9661669   0.          0.25108385  0.        ]
  [ 1.          0.12942478  0.          0.02186382  0.        ]
  [ 1.          0.22761352  0.6310612  -0.01994416  0.01513876]
  [ 1.          0.38700333  0.33333334  0.01812474  0.        ]
  [ 1.          0.5036878   0.6666667   0.02537911  0.        ]]]",[4]
183,"[[[ 1.          1.          0.          0.25014272  0.        ]
  [ 1.          0.13737969  0.          0.01731968  0.        ]
  [ 1.          0.22150247  0.66418713 -0.00991087  0.00106845]
  [ 1.          0.3928625   0.33333334  0.01064955  0.        ]
  [ 1.          0.51328844  0.6666667   0.02191957  0.        ]]]",[4]
184,"[[[ 1.0000000e+00  1.0000000e+00  0.0000000e+00  2.5001881e-01
    0.0000000e+00]
  [ 1.0000000e+00  1.4383310e-01  0.0000000e+00  1.4674343e-02
    0.0000000e+00]
  [ 1.0000000e+00  2.1852881e-01  6.6650373e-01 -4.2737075e-03
    7.0720693e-05]
  [ 1.0000000e+00  3.9656973e-01  3.3333334e-01  7.8729689e-03
    0.0000000e+00]
  [ 1.0000000e+00  5.2155316e-01  6.6666669e-01  1.8908620e-02
    0.0000000e+00]]]",[4]
185,"[[[ 1.0000000e+00  1.0000000e+00  0.0000000e+00  2.5000247e-01
    0.0000000e+00]
  [ 1.0000000e+00  1.4944391e-01  0.0000000e+00  1.3218945e-02
    0.0000000e+00]
  [ 1.0000000e+00  2.1742809e-01  6.6665632e-01 -8.0046320e-04
    4.5016595e-06]
  [ 1.0000000e+00  3.9961094e-01  3.3333334e-01  7.5146141e-03
    0.0000000e+00]
  [ 1.0000000e+00  5.2871209e-01  6.6666669e-01  1.6474716e-02
    0.0000000e+00]]]",[4]
186,"[[[1.0000000e+00 1.0000000e+00 0.0000000e+00 2.5000033e-01 0.0000000e+00]
  [1.0000000e+00 1.5457690e-01 0.0000000e+00 1.2320683e-02 0.0000000e+00]
  [1.0000000e+00 2.1748477e-01 6.6666603e-01 1.3485645e-03 2.7957330e-07]
  [1.0000000e+00 4.0270832e-01 3.3333334e-01 8.2084229e-03 0.0000000e+00]
  [1.0000000e+00 5.3496307e-01 6.6666669e-01 1.4413653e-02 0.0000000e+00]]]",[4]
187,"[[[1.0000000e+00 1.0000000e+00 0.0000000e+00 2.5000003e-01 0.0000000e+00]
  [1.0000000e+00 1.5939169e-01 0.0000000e+00 1.1632144e-02 0.0000000e+00]
  [1.0000000e+00 2.1825618e-01 6.6666663e-01 2.6682254e-03 1.7097801e-08]
  [1.0000000e+00 4.0615392e-01 3.3333334e-01 9.2488639e-03 0.0000000e+00]
  [1.0000000e+00 5.4042941e-01 6.6666669e-01 1.2579132e-02 0.0000000e+00]]]",[4]
188,"[[[1.0000000e+00 1.0000000e+00 0.0000000e+00 2.5000000e-01 0.0000000e+00]
  [1.0000000e+00 1.6394190e-01 0.0000000e+00 1.0991600e-02 0.0000000e+00]
  [1.0000000e+00 2.1946360e-01 6.6666669e-01 3.4601989e-03 1.0358161e-09]
  [1.0000000e+00 4.1002512e-01 3.3333334e-01 1.0307241e-02 0.0000000e+00]
  [1.0000000e+00 5.4518670e-01 6.6666669e-01 1.0887237e-02 0.0000000e+00]]]",[4]
189,"[[[1.0000000e+00 1.0000000e+00 0.0000000e+00 2.5000000e-01 0.0000000e+00]
  [1.0000000e+00 1.6823465e-01 0.0000000e+00 1.0336860e-02 0.0000000e+00]
  [1.0000000e+00 2.2092821e-01 6.6666669e-01 3.9076167e-03 6.2401195e-11]
  [1.0000000e+00 4.1430372e-01 3.3333334e-01 1.1251694e-02 0.0000000e+00]
  [1.0000000e+00 5.4928380e-01 6.6666669e-01 9.2928726e-03 0.0000000e+00]]]",[4]
190,"[[[ 1.0000000e+00  1.0000000e+00  0.0000000e+00  2.5000000e-01
    0.0000000e+00]
  [ 1.0000000e+00  1.7226097e-01  0.0000000e+00  9.6537536e-03
    0.0000000e+00]
  [ 1.0000000e+00  2.2253168e-01  6.6666669e-01  4.1216067e-03
    3.7478909e-12]
  [ 1.0000000e+00  4.1893628e-01  3.3333334e-01  1.2045266e-02
    0.0000000e+00]
  [ 1.0000000e+00  5.4836369e-01  0.0000000e+00 -6.4618941e-03
    0.0000000e+00]]]",[4]
191,"[[[ 1.0000000e+00  1.0000000e+00  0.0000000e+00  2.5000000e-01
    0.0000000e+00]
  [ 1.0000000e+00  1.7601015e-01  0.0000000e+00  8.9485487e-03
    0.0000000e+00]
  [ 1.0000000e+00  2.2419260e-01  6.6666669e-01  4.1703675e-03
    2.2493118e-13]
  [ 1.0000000e+00  4.2386231e-01  3.3333334e-01  1.2692018e-02
    0.0000000e+00]
  [ 1.0000000e+00  5.4582447e-01  0.0000000e+00 -6.1910772e-03
    0.0000000e+00]]]",[4]
192,"[[[ 1.0000000e+00  1.0000000e+00  0.0000000e+00  2.5000000e-01
    0.0000000e+00]
  [ 1.0000000e+00  1.7947535e-01  0.0000000e+00  8.2343118e-03
    0.0000000e+00]
  [ 1.0000000e+00  2.2585239e-01  6.6666669e-01  4.0968447e-03
    1.3544721e-14]
  [ 1.0000000e+00  4.2902583e-01  3.3333334e-01  1.3210486e-02
    0.0000000e+00]
  [ 1.0000000e+00  5.4338539e-01  0.0000000e+00 -5.9610093e-03
    0.0000000e+00]]]",[4]
193,"[[[ 1.00000000e+00  1.00000000e+00  0.00000000e+00  2.50000000e-01
    0.00000000e+00]
  [ 1.00000000e+00  1.82655200e-01  0.00000000e+00  7.52475392e-03
    0.00000000e+00]
  [ 1.00000000e+00  2.27466971e-01  6.66666687e-01  3.92925832e-03
    6.66133815e-16]
  [ 1.00000000e+00  4.34378922e-01  3.33333343e-01  1.36217475e-02
    0.00000000e+00]
  [ 1.00000000e+00  5.41037142e-01  0.00000000e+00 -5.73284458e-03
    0.00000000e+00]]]",[4]
194,"[[[ 1.          1.          0.          0.25        0.        ]
  [ 1.          0.18555354  0.          0.00683183  0.        ]
  [ 1.          0.22900209  0.6666667   0.00368728  0.        ]
  [ 1.          0.43988186  0.33333334  0.01394478  0.        ]
  [ 1.          0.5387824   0.         -0.00548907  0.        ]]]",[4]
195,"[[[ 1.          1.          0.          0.25        0.        ]
  [ 1.          0.18817861  0.          0.00616506  0.        ]
  [ 1.          0.23043044  0.6666667   0.00338565  0.        ]
  [ 1.          0.44550195  0.33333334  0.01419519  0.        ]
  [ 1.          0.5366285   0.         -0.00522377  0.        ]]]",[4]
196,"[[[ 1.          1.          0.          0.25        0.        ]
  [ 1.          0.19054213  0.          0.00553163  0.        ]
  [ 1.          0.23173015  0.6666667   0.00303618  0.        ]
  [ 1.          0.45121223  0.33333334  0.01438534  0.        ]
  [ 1.          0.5345842   0.         -0.004937    0.        ]]]",[4]
197,"[[[ 1.          1.          0.          0.25        0.        ]
  [ 1.          0.19265829  0.          0.00493669  0.        ]
  [ 1.          0.23288372  0.6666667   0.00264899  0.        ]
  [ 1.          0.45699015  0.33333334  0.01452487  0.        ]
  [ 1.          0.53265774  0.         -0.00463168  0.        ]]]",[4]
198,"[[[ 1.          1.          0.          0.25        0.        ]
  [ 1.          0.19454311  0.          0.0043837   0.        ]
  [ 1.          0.23387755  0.6666667   0.00223308  0.        ]
  [ 1.          0.46281683  0.33333334  0.01462141  0.        ]
  [ 1.          0.53085583  0.         -0.0043118   0.        ]]]",[4]
199,"[[[ 1.          1.          0.          0.25        0.        ]
  [ 1.          0.19621374  0.          0.00387479  0.        ]
  [ 1.          0.2347015   0.6666667   0.0017967   0.        ]
  [ 1.          0.46867603  0.33333334  0.01468107  0.        ]
  [ 1.          0.5291837   0.         -0.00398155  0.        ]]]",[4]
200,"[[[ 1.          1.          0.          0.25        0.        ]
  [ 1.          0.19768798  0.          0.00341096  0.        ]
  [ 1.          0.2353486   0.6666667   0.00134746  0.        ]
  [ 1.          0.47455385  0.33333334  0.01470885  0.        ]
  [ 1.          0.5276448   0.         -0.00364481  0.        ]]]",[4]
201,"[[[ 1.0000000e+00  1.0000000e+00  0.0000000e+00  2.5000000e-01
    0.0000000e+00]
  [ 1.0000000e+00  1.9898395e-01  0.0000000e+00  2.9923765e-03
    0.0000000e+00]
  [ 1.0000000e+00  2.3581485e-01  6.6666669e-01  8.9241529e-04
    0.0000000e+00]
  [ 1.0000000e+00  4.8043823e-01  3.3333334e-01  1.4708993e-02
    0.0000000e+00]
  [ 1.0000000e+00  5.2624118e-01  0.0000000e+00 -3.3049965e-03
    0.0000000e+00]]]",[4]
202,"[[[ 1.0000000e+00  1.0000000e+00  0.0000000e+00  2.5000000e-01
    0.0000000e+00]
  [ 1.0000000e+00  2.0011967e-01  0.0000000e+00  2.6184842e-03
    0.0000000e+00]
  [ 1.0000000e+00  2.3609899e-01  6.6666669e-01  4.3804690e-04
    0.0000000e+00]
  [ 1.0000000e+00  4.8631874e-01  3.3333334e-01  1.4685151e-02
    0.0000000e+00]
  [ 1.0000000e+00  5.2497363e-01  0.0000000e+00 -2.9649581e-03
    0.0000000e+00]]]",[4]
203,"[[[ 1.0000000e+00  1.0000000e+00  0.0000000e+00  2.5000000e-01
    0.0000000e+00]
  [ 1.0000000e+00  2.0111284e-01  0.0000000e+00  2.2881771e-03
    0.0000000e+00]
  [ 1.0000000e+00  2.3620227e-01  6.6666669e-01 -9.7645252e-06
    0.0000000e+00]
  [ 1.0000000e+00  4.9218628e-01  3.3333334e-01  1.4640568e-02
    0.0000000e+00]
  [ 1.0000000e+00  5.2384186e-01  0.0000000e+00 -2.6270307e-03
    0.0000000e+00]]]",[4]
204,"[[[ 1.0000000e+00  1.0000000e+00  0.0000000e+00  2.5000000e-01
    0.0000000e+00]
  [ 1.0000000e+00  2.0198067e-01  0.0000000e+00  1.9999119e-03
    0.0000000e+00]
  [ 1.0000000e+00  2.3612815e-01  6.6666669e-01 -4.4576247e-04
    0.0000000e+00]
  [ 1.0000000e+00  4.9803305e-01  3.3333334e-01  1.4578165e-02
    0.0000000e+00]
  [ 1.0000000e+00  5.2284461e-01  0.0000000e+00 -2.2930664e-03
    0.0000000e+00]]]",[4]
205,"[[[ 1.0000000e+00  1.0000000e+00  0.0000000e+00  2.5000000e-01
    0.0000000e+00]
  [ 1.0000000e+00  2.0273969e-01  0.0000000e+00  1.7518108e-03
    0.0000000e+00]
  [ 1.0000000e+00  2.3588212e-01  6.6666669e-01 -8.6534180e-04
    0.0000000e+00]
  [ 1.0000000e+00  5.0385237e-01  3.3333334e-01  1.4500610e-02
    0.0000000e+00]
  [ 1.0000000e+00  5.2198017e-01  0.0000000e+00 -1.9645002e-03
    0.0000000e+00]]]",[4]
206,"[[[ 1.          1.          0.          0.25        0.        ]
  [ 1.          0.20340562  0.          0.00154175  0.        ]
  [ 1.          0.2354714   0.6666667  -0.00126456  0.        ]
  [ 1.          0.50963855  0.33333334  0.01441036  0.        ]
  [ 1.          0.5212461   0.         -0.00164242  0.        ]]]",[4]
207,"[[[ 1.          1.          0.          0.25        0.        ]
  [ 1.          0.20399332  0.          0.00136744  0.        ]
  [ 1.          0.23490468  0.6666667  -0.00164016  0.        ]
  [ 1.          0.5153869   0.33333334  0.01430969  0.        ]
  [ 1.          0.5206397   0.         -0.0013276   0.        ]]]",[4]
208,"[[[ 1.          1.          0.          0.25        0.        ]
  [ 1.          0.20451672  0.          0.00122648  0.        ]
  [ 1.          0.23419183  0.6666667  -0.00198951  0.        ]
  [ 1.          0.52015805  0.         -0.00102062  0.        ]
  [ 1.          0.52109355  0.33333334  0.01420073  0.        ]]]",[4]
209,"[[[ 1.0000000e+00  1.0000000e+00  0.0000000e+00  2.5000000e-01
    0.0000000e+00]
  [ 1.0000000e+00  2.0498875e-01  0.0000000e+00  1.1164217e-03
    0.0000000e+00]
  [ 1.0000000e+00  2.3334372e-01  6.6666669e-01 -2.3106318e-03
    0.0000000e+00]
  [ 1.0000000e+00  5.1979792e-01  0.0000000e+00 -7.2182680e-04
    0.0000000e+00]
  [ 1.0000000e+00  5.2675557e-01  3.3333334e-01  1.4085437e-02
    0.0000000e+00]]]",[4]
210,"[[[ 1.          0.75801265  0.33333334  0.3125      0.        ]
  [ 1.          0.12394117 -0.33333334 -0.02676599  0.        ]
  [ 1.          0.25267565  0.33333334 -0.02367739  0.        ]
  [ 1.          0.36988363  0.         -0.04990398  0.        ]
  [ 1.          0.49508268  0.33333334 -0.03106826  0.        ]]]",[4]
211,"[[[ 1.          0.87103736  0.33333334  0.25823045  0.        ]
  [ 1.          0.12440752 -0.33333334  0.02279474  0.        ]
  [ 1.          0.25050235  0.33333334  0.00552187  0.        ]
  [ 1.          0.35902974  0.         -0.01083139  0.        ]
  [ 1.          0.49281436  0.33333334  0.01267576  0.        ]]]",[4]
212,"[[[ 1.          0.9727525   0.33333334  0.25108385  0.        ]
  [ 1.          0.13453205 -0.33333334  0.02662009  0.        ]
  [ 1.          0.25216332  0.33333334  0.00101035  0.        ]
  [ 1.          0.35509795  0.         -0.0099508   0.        ]
  [ 1.          0.4982384   0.33333334  0.01272558  0.        ]]]",[4]
213,"[[[ 1.          1.          0.33333334  0.25014272  0.        ]
  [ 1.          0.14499554 -0.33333334  0.02528475  0.        ]
  [ 1.          0.25170633  0.33333334 -0.0039469   0.        ]
  [ 1.          0.3508498   0.         -0.0114805   0.        ]
  [ 1.          0.5026977   0.33333334  0.00876783  0.        ]]]",[4]
214,"[[[ 1.          1.          0.33333334  0.2500188   0.        ]
  [ 1.          0.15487002 -0.33333334  0.02385952  0.        ]
  [ 1.          0.24960826  0.33333334 -0.00682941  0.        ]
  [ 1.          0.34613857  0.         -0.01202764  0.        ]
  [ 1.          0.5056332   0.33333334  0.00536107  0.        ]]]",[4]
215,"[[[ 1.          1.          0.33333334  0.25000247  0.        ]
  [ 1.          0.1642346  -0.33333334  0.02281051  0.        ]
  [ 1.          0.24660991  0.33333334 -0.00828108  0.        ]
  [ 1.          0.341345    0.         -0.01180694  0.        ]
  [ 1.          0.5073315   0.33333334  0.0027      0.        ]]]",[4]
216,"[[[ 1.0000000e+00  1.0000000e+00  3.3333334e-01  2.5000033e-01
    0.0000000e+00]
  [ 1.0000000e+00  1.7323115e-01 -3.3333334e-01  2.2061879e-02
    0.0000000e+00]
  [ 1.0000000e+00  2.4317613e-01  3.3333334e-01 -8.9238891e-03
    0.0000000e+00]
  [ 1.0000000e+00  3.3671269e-01  0.0000000e+00 -1.1190092e-02
    0.0000000e+00]
  [ 1.0000000e+00  5.0805604e-01  3.3333334e-01  5.6259544e-04
    0.0000000e+00]]]",[4]
217,"[[[ 1.          1.          0.33333334  0.25000003  0.        ]
  [ 1.          0.18196307 -0.33333334  0.02151337  0.        ]
  [ 1.          0.23956202  0.33333334 -0.00914529  0.        ]
  [ 1.          0.3323592   0.         -0.010406    0.        ]
  [ 1.          0.50798523  0.33333334 -0.00123172  0.        ]]]",[4]
218,"[[[ 1.          1.          0.33333334  0.25        0.        ]
  [ 1.          0.19049798 -0.33333334  0.02109342  0.        ]
  [ 1.          0.23589593  0.33333334 -0.00917181  0.        ]
  [ 1.          0.32832915  0.         -0.00957803  0.        ]
  [ 1.          0.5072359   0.33333334 -0.00279828  0.        ]]]",[4]
219,"[[[ 1.          1.          0.33333334  0.25        0.        ]
  [ 1.          0.1988792  -0.33333334  0.02075543  0.        ]
  [ 1.          0.23223273  0.33333334 -0.00913288  0.        ]
  [ 1.          0.3246286   0.         -0.00876889  0.        ]
  [ 1.          0.50588703  0.33333334 -0.00420631  0.        ]]]",[4]
220,"[[[ 1.          1.          0.33333334  0.25        0.        ]
  [ 1.          0.20713434 -0.33333334  0.02046982  0.        ]
  [ 1.          0.2285858   0.33333334 -0.00909992  0.        ]
  [ 1.          0.3212446   0.         -0.00800804  0.        ]
  [ 1.          0.5039948   0.33333334 -0.0054953   0.        ]]]",[4]
221,"[[[ 1.          1.          0.33333334  0.25        0.        ]
  [ 1.          0.21528113 -0.33333334  0.0202181   0.        ]
  [ 1.          0.22494599  0.33333334 -0.00910952  0.        ]
  [ 1.          0.31815553  0.         -0.00730705  0.        ]
  [ 1.          0.50160325  0.33333334 -0.00668619  0.        ]]]",[4]
222,"[[[ 1.          1.          0.33333334  0.25        0.        ]
  [ 1.          0.2212933   0.33333334 -0.00917744  0.        ]
  [ 1.          0.2233311  -0.33333334  0.01998887  0.        ]
  [ 1.          0.31533688  0.         -0.00666815  0.        ]
  [ 1.          0.4987496   0.33333334 -0.00778873  0.        ]]]",[4]
223,"[[[ 1.          1.          0.33333334  0.25        0.        ]
  [ 1.          0.21760352  0.33333334 -0.00930708  0.        ]
  [ 1.          0.23129204 -0.33333334  0.0197752   0.        ]
  [ 1.          0.31276417  0.         -0.00608887  0.        ]
  [ 1.          0.49546862  0.33333334 -0.0088063   0.        ]]]",[4]
224,"[[[ 1.          1.          0.33333334  0.25        0.        ]
  [ 1.          0.21385242  0.33333334 -0.00949467  0.        ]
  [ 1.          0.23916943 -0.33333334  0.0195729   0.        ]
  [ 1.          0.31041417  0.         -0.00556463  0.        ]
  [ 1.          0.49179414  0.33333334 -0.00973902  0.        ]]]",[4]
225,"[[[ 1.          1.          0.33333334  0.25        0.        ]
  [ 1.          0.21001796  0.33333334 -0.00973254  0.        ]
  [ 1.          0.24696739 -0.33333334  0.01937952  0.        ]
  [ 1.          0.30826575  0.         -0.00509009  0.        ]
  [ 1.          0.48776028  0.33333334 -0.01058572  0.        ]]]",[4]
226,"[[[ 1.          1.          0.33333334  0.25        0.        ]
  [ 1.          0.20608151  0.33333334 -0.01001104  0.        ]
  [ 1.          0.25468925 -0.33333334  0.01919364  0.        ]
  [ 1.          0.30629987  0.         -0.00465987  0.        ]
  [ 1.          0.4834017   0.33333334 -0.01134513  0.        ]]]",[4]
227,"[[[ 1.          1.          0.33333334  0.25        0.        ]
  [ 1.          0.20202851  0.33333334 -0.01031976  0.        ]
  [ 1.          0.26233783 -0.33333334  0.01901445  0.        ]
  [ 1.          0.30449966  0.         -0.00426889  0.        ]
  [ 1.          0.4787534   0.33333334 -0.01201653  0.        ]]]",[4]
228,"[[[ 1.          1.          0.33333334  0.25        0.        ]
  [ 1.          0.19784851  0.33333334 -0.01064831  0.        ]
  [ 1.          0.26991573 -0.33333334  0.0188415   0.        ]
  [ 1.          0.30285016  0.         -0.00391253  0.        ]
  [ 1.          0.47385058  0.33333334 -0.01260015  0.        ]]]",[4]
229,"[[[ 1.          1.          0.33333334  0.25        0.        ]
  [ 1.          0.1935352   0.33333334 -0.01098679  0.        ]
  [ 1.          0.27742544 -0.33333334  0.01867452  0.        ]
  [ 1.          0.3013382   0.         -0.00358664  0.        ]
  [ 1.          0.46872827  0.33333334 -0.01309724  0.        ]]]",[4]
230,"[[[ 1.          1.          0.33333334  0.25        0.        ]
  [ 1.          0.18908608  0.33333334 -0.01132603  0.        ]
  [ 1.          0.28486928 -0.33333334  0.01851338  0.        ]
  [ 1.          0.2999522   0.         -0.00328757  0.        ]
  [ 1.          0.46342066  0.33333334 -0.01351008  0.        ]]]",[4]
231,"[[[ 1.          1.          0.33333334  0.25        0.        ]
  [ 1.          0.18450223  0.33333334 -0.0116578   0.        ]
  [ 1.          0.29224956 -0.33333334  0.01835797  0.        ]
  [ 1.          0.29868194  0.         -0.00301214  0.        ]
  [ 1.          0.457961    0.33333334 -0.01384191  0.        ]]]",[4]
232,"[[[ 1.          1.          0.33333334  0.25        0.        ]
  [ 1.          0.1797878   0.33333334 -0.01197491  0.        ]
  [ 1.          0.29751846  0.         -0.00275752  0.        ]
  [ 1.          0.29956862 -0.33333334  0.01820821  0.        ]
  [ 1.          0.45238107  0.33333334 -0.01409677  0.        ]]]",[4]
233,"[[[ 1.          1.          0.33333334  0.25        0.        ]
  [ 1.          0.17494968  0.33333334 -0.01227125  0.        ]
  [ 1.          0.2964538   0.         -0.00252128  0.        ]
  [ 1.          0.30682865 -0.33333334  0.01806403  0.        ]
  [ 1.          0.4467109   0.33333334 -0.01427933  0.        ]]]",[4]
234,"[[[ 1.          1.          0.33333334  0.25        0.        ]
  [ 1.          0.16999699  0.33333334 -0.0125418   0.        ]
  [ 1.          0.29548097  0.         -0.00230128  0.        ]
  [ 1.          0.3140319  -0.33333334  0.01792534  0.        ]
  [ 1.          0.44097868  0.33333334 -0.01439471  0.        ]]]",[4]
235,"[[[ 1.          1.          0.33333334  0.25        0.        ]
  [ 1.          0.16494073  0.33333334 -0.01278262  0.        ]
  [ 1.          0.2945938   0.         -0.00209563  0.        ]
  [ 1.          0.32118052 -0.33333334  0.01779204  0.        ]
  [ 1.          0.43521032  0.33333334 -0.01444833  0.        ]]]",[4]
236,"[[[ 1.          1.          0.33333334  0.25        0.        ]
  [ 1.          0.1597933   0.33333334 -0.01299076  0.        ]
  [ 1.          0.2937868   0.         -0.00190271  0.        ]
  [ 1.          0.3282767  -0.33333334  0.01766403  0.        ]
  [ 1.          0.42942968  0.33333334 -0.0144457   0.        ]]]",[4]
237,"[[[ 1.          1.          0.33333334  0.25        0.        ]
  [ 1.          0.1545681   0.33333334 -0.01316423  0.        ]
  [ 1.          0.29305512  0.         -0.00172108  0.        ]
  [ 1.          0.3353225  -0.33333334  0.01754119  0.        ]
  [ 1.          0.4236584   0.33333334 -0.01439237  0.        ]]]",[4]
238,"[[[ 1.          1.          0.33333334  0.25        0.        ]
  [ 1.          0.14927922  0.33333334 -0.01330192  0.        ]
  [ 1.          0.29239443  0.         -0.00154947  0.        ]
  [ 1.          0.34231997 -0.33333334  0.0174234   0.        ]
  [ 1.          0.41791588  0.33333334 -0.01429373  0.        ]]]",[4]
239,"[[[ 1.          1.          0.33333334  0.25        0.        ]
  [ 1.          0.14394106  0.33333334 -0.01340344  0.        ]
  [ 1.          0.29180095  0.         -0.00138679  0.        ]
  [ 1.          0.34927112 -0.33333334  0.01731054  0.        ]
  [ 1.          0.41221938  0.33333334 -0.014155    0.        ]]]",[4]
240,"[[[ 1.          0.7699774   0.          0.3125      0.        ]
  [ 1.          0.1294546   0.33333334 -0.01559778  0.        ]
  [ 1.          0.2539446   0.         -0.04223396  0.        ]
  [ 1.          0.37019867  0.         -0.04437251  0.        ]
  [ 1.          0.48367432  0.         -0.03715874  0.        ]]]",[4]
241,"[[[ 1.          0.8830021   0.          0.25823045  0.        ]
  [ 1.          0.13467671  0.33333334  0.03094881  0.        ]
  [ 1.          0.23702635  0.         -0.06031465  0.        ]
  [ 1.          0.35291308  0.         -0.05376038  0.        ]
  [ 1.          0.47377065  0.15994355 -0.02048345 -0.04004488]]]",[4]
242,"[[[ 1.          0.9847173   0.          0.25108385  0.        ]
  [ 1.          0.14606814  0.33333334  0.02786613  0.        ]
  [ 1.          0.20818259  0.         -0.08527481  0.        ]
  [ 1.          0.32933426  0.         -0.06379305  0.        ]
  [ 1.          0.46512365  0.0138674  -0.01523606 -0.00593577]]]",[4]
243,"[[[ 1.0000000e+00  1.0000000e+00  0.0000000e+00  2.5014272e-01
    0.0000000e+00]
  [ 1.0000000e+00  1.5713818e-01  3.3333334e-01  2.7224306e-02
    0.0000000e+00]
  [ 1.0000000e+00  1.7248715e-01  0.0000000e+00 -9.2517167e-02
    0.0000000e+00]
  [ 1.0000000e+00  3.0405146e-01  0.0000000e+00 -6.0783334e-02
    0.0000000e+00]
  [ 1.0000000e+00  4.6051976e-01  9.3766110e-04 -7.3016128e-03
   -4.0521228e-04]]]",[4]
244,"[[[ 1.0000000e+00  1.0000000e+00  0.0000000e+00  2.5001881e-01
    0.0000000e+00]
  [ 1.0000000e+00  1.3567896e-01  0.0000000e+00 -8.9920640e-02
    0.0000000e+00]
  [ 1.0000000e+00  1.6789240e-01  3.3333334e-01  2.6399229e-02
    0.0000000e+00]
  [ 1.0000000e+00  2.8086668e-01  0.0000000e+00 -5.3368084e-02
    0.0000000e+00]
  [ 1.0000000e+00  4.5822433e-01  6.0912487e-05 -4.0118513e-03
   -2.6401955e-05]]]",[4]
245,"[[[ 1.00000000e+00  1.00000000e+00  0.00000000e+00  2.50002474e-01
    0.00000000e+00]
  [ 1.00000000e+00  1.00786276e-01  0.00000000e+00 -8.26132894e-02
    0.00000000e+00]
  [ 1.00000000e+00  1.78328931e-01  3.33333343e-01  2.56278086e-02
    0.00000000e+00]
  [ 1.00000000e+00  2.60802776e-01  0.00000000e+00 -4.54464629e-02
    0.00000000e+00]
  [ 1.00000000e+00  4.56849873e-01  3.89499837e-06 -2.82296864e-03
   -1.68972360e-06]]]",[4]
246,"[[[ 1.00000000e+00  1.00000000e+00  0.00000000e+00  2.50000328e-01
    0.00000000e+00]
  [ 1.00000000e+00  6.91653565e-02  0.00000000e+00 -7.35678449e-02
    0.00000000e+00]
  [ 1.00000000e+00  1.88451067e-01  3.33333343e-01  2.48048566e-02
    0.00000000e+00]
  [ 1.00000000e+00  2.43782863e-01  0.00000000e+00 -3.84484604e-02
    0.00000000e+00]
  [ 1.00000000e+00  4.55800384e-01  2.47706794e-07 -2.39967252e-03
   -1.07496305e-07]]]",[4]
